deployment_ID,individual_ID,tag_onset_UTC,tag_offset_UTC,age,sex,dominance_status,group_ID,species,local_sunrise_time,local_sunset_time,timezone,location_lon,location_lat,th1,th2,local_active_time
4707657037,14556,NA,NA,NA,NA,NA,NA,baboon,NA,NA,NA,NA,NA,2.240423827,NA,NA
2016,BORA,NA,NA,NA,NA,NA,NA,hyena,NA,NA,NA,NA,NA,-3.630764389,-0.090481884,NA
2016,BYTE,NA,NA,NA,NA,NA,NA,hyena,NA,NA,NA,NA,NA,-3.592529259,-0.115664264,NA
2016,FAY,NA,NA,NA,NA,NA,NA,hyena,NA,NA,NA,NA,NA,-3.762212181,-0.15534129,NA
2016,MGTA,NA,NA,NA,NA,NA,NA,hyena,NA,NA,NA,NA,NA,-3.627312059,-0.121711004,NA
2016,WRTH,NA,NA,NA,NA,NA,NA,hyena,NA,NA,NA,NA,NA,-3.390760207,-0.009616017,NA
arugot,BL,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.354085366,NA,NA
arugot,JN,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.333057269,NA,NA
arugot,QM,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.363733032,NA,NA
bachelor,C6,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.380227055,NA,NA
bachelor,CF,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.333057269,NA,NA
bachelor,F6,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.318394982,NA,NA
david,PJ,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.335720487,NA,NA
david,TD,NA,NA,NA,NA,NA,NA,hyrax,NA,NA,NA,NA,NA,-3.25656291,NA,NA
1,Albus,04/05/2024 11:00,21/05/2024 10:25,Adult,M,NA,NA,spidermonkey,06:01:00,18:33:00,-5,-79.8461,9.1544,-4.511964843,NA,12:00:00
1,Cho,06/05/2024 11:00,21/05/2024 10:25,Adult,F,NA,NA,spidermonkey,06:01:00,18:33:00,-5,-79.8461,9.1544,-4.341967826,NA,12:00:00
147,4163,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
147,4164,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
147,4283,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
152,4036,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
152,4040,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
152,4093,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
152,4096,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
81,4240,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
81,4241,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
81,4242,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
81,4243,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
81,4276,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
81,4278,NA,NA,NA,NA,NA,NA,meerkat,NA,NA,NA,NA,NA,NA,NA,NA
